image	caption
/content/MediaEval_NewsImages/Training Dataset/UVYKAVtbUkN-XR8FAA5RUV1XQClQGlZQ.jpg	Biden: Secret documents discovered from the time as Vice President in private office In an old office of US President Joe Biden, secret government documents from his time have been found as U.S. Vice President. This is for Biden’s crook – because with a similar case, his predecessor Donald Trump had made a scandal in the summer. Its reaction came promptly.
/content/MediaEval_NewsImages/Training Dataset/UVYKAV9eVRB-XR8FAA5RUV9dR3oEGANQ.jpg	Czech Prime Minister writes personal dedication to T-72 Chancellor for Ukraine The Prime Minister of the Czech Republic, Petr Fiala, has provided a T-72 tank to be delivered to the Ukrainian military with personal dedication. He dedicated the tank the brave defender of Ukraine, says the politician.
/content/MediaEval_NewsImages/Training Dataset/UVYKBlhbAEMpUUFXBgtUDF8AQ3JdGlID.jpg	Since he researched in Donbass: Journalist loses teaching assignment and sues Kiel University With his research in Donbass, former NDR journalist Patrik Baab probably denied Western propaganda records. After a media shitstorm, two colleges set him up. Now he complains against the termination of his teaching assignment by the University of Kiel.
/content/MediaEval_NewsImages/Training Dataset/UVYKAV9UAEJ-XR8FAA5RUVhRR3oHHwME.jpg	Russia: Schoigu announces digital modernisation of the county army replacement offices In Russia, the work of the county army replacement offices will be modernized shortly, Minister of Defence Sergei Schoigu announced on Tuesday. Vladimir Putin ordered the measures in the previous year to solve the problems encountered in partial mobilisation.
/content/MediaEval_NewsImages/Training Dataset/UVYKBlhdAUJ-XR8FAA5WXlxXQn8GQF4H.jpg	Chaos and Terror – Mexico's War Against Drug Mafia For decades, the drug cartels have dominated Mexico – funded and driven by their largest market: the USA. Every Mexican government has to find a way with the family: get smeared or fight them. The latter has committed itself to Mexico's reigning President López Obrador. The result: A new wave of chaos and terror.
/content/MediaEval_NewsImages/Training Dataset/UVYKAV1VXEMpUUFXBgtVXVoDRSlQSVVQ.jpg	PCK Schwedt without Russian oil: petrol shortage and high fuel prices in the east The most important refinery in East Germany is only 50 percent due to the embargo on Russian oil. Alternative deliveries can be maintained. This could lead to serious consequences for the gas stations.
/content/MediaEval_NewsImages/Training Dataset/UVYKAV5fAEB-XR8FAA5QXVRQQi0AHVJR.jpg	Russia: A half months old Amurleopardenbabys saved Amurleopardenbabys should be separated from their high snow cover They were found and saved at a highway in Primorje. The Amurleopard is threatened with extinction: There are currently more than 120 of these animals in Russia.
/content/MediaEval_NewsImages/Training Dataset/UVYKAVtZUUApUUFXBgtWWFlRR3hQG15S.jpg	Too many requests from Russia: Latvia wants to suspend the return law Latvia's Interior Ministry wants to make it more difficult for Russian citizens to emigrate into the Republic. The Authority proposes to suspend a return law allowing people whose ancestors were ethnic lettuce or live to settle permanently in the country.
/content/MediaEval_NewsImages/Training Dataset/UVYKAV5bVBcpUUFXBgtWDF0ARHJQTgZR.jpg	Paris instead of Bachmut: press officer of the Ukrainian border troops celebrates glamorous New Year's Eve It was considered the face of the border guards of Ukraine. With generous photos from Paris and from the seaside holiday, the press spokesman of the Southern Border Protection Region has now drawn the immity in the Ukrainian social networks: partying, while their colleagues are dying on the front, are not sending.
/content/MediaEval_NewsImages/Training Dataset/UVYKAV1fU0UpUUFXBgtVXF5WRHlRQAQA.jpg	After reintroduced compulsory military service: Sweden wants compulsory civil service In 2017, after several years of suspension, Sweden had reintroduced compulsory military service. Now the Scandinavian country wants to revive compulsory civil service. According to statements from Stockholm, in view of the conflict in Ukraine, defence capacities are to be strengthened.
/content/MediaEval_NewsImages/Training Dataset/UVYKAV8IVRR-XR8FAA5RUVgDQHIHHQZW.jpg	Because of this damn mouthbags – Polish puts Ukrainian refugees on the door A Polish woman has rejected a Ukrainian refugee with her daughter from the apartment. The reason is a dispute over the preparation of mules. Polin said the guests were too happy.
/content/MediaEval_NewsImages/Training Dataset/UVYKBltYXBF-XR8FAA5RUV1XQClQG15R.jpg	An ethnically pure Kosovo without Serbs – The Target Pristinas? The tensions in the prosperous Serbian province of Kosovo had last greatly increased. With reference to the security of the local Serb population in the municipalities in the north, Belgrade requested a renewed deployment of its troops.
/content/MediaEval_NewsImages/Training Dataset/UVYKAV0JU0Z-XR8FAA5RXglSQ31cHFRd.jpg	After drastic words: Russian actor threatens criminal proceedings The Russian authorities investigate against the well-known actor Artur Smoljaninow. In an interview he stressed that he would fight in the war on the side of Ukraine. He doesn't care about the fate of Russia, even if only radioactive ashes remain from the country.
/content/MediaEval_NewsImages/Training Dataset/UVYKAVxfUEMpUUFXBgtVXVVdRS4BQFJV.jpg	Coalition Contract ignored: Federal Government votes for stock data on facial recognition CI In the coalition agreement, the Federal Government has excluded the use of artificial intelligence for facial recognition in public space. Consequently, Germany should also reject this within the EU. Recently published documents show that the government has agreed to mass surveillance by facial recognition in the EU.
/content/MediaEval_NewsImages/Training Dataset/UVYKAVgMVxd-XR8FAA5RXg5TRXxcHwRQ.jpg	Elitarian parallel society: WEF meetings 2023 can be protected by 5,000 soldiers The main topics are Artificial Intelligence and Digitization. 89 German participants are listed on a published guest list, including the climate activist Luisa Neubauer and politicians Lars Klingbeil (SPD) as well as Jens Spahn (CDU), who had previously completed the course of the WEF community Young Global Leaders in April 2022.
/content/MediaEval_NewsImages/Training Dataset/UVYKAVALUUN-XR8FAA5QXVRTQ3hQHFNU.jpg	Saxony announces the end of the masking obligation in the ÖPNV from 16. January – Berlin wants to follow in February After Saxony-Anhalt, Bavaria and Schleswig-Holstein, the mask obligation in bus and train ends next week in Saxony. Berlin follows in early February – however, it does not change anything at federal rules such as FFP2-masks in long-distance traffic.
/content/MediaEval_NewsImages/Training Dataset/UVYKAV0PXBQpUUFXBgtVXVoDRSlQSVUA.jpg	KonstrukrukrukKalbr-Marschflugform died Kamnew was a pillar of the Russian armor complex and an excellent rocket scientist. One of its most famous developments is the Kalibr-Marschflugbody.
/content/MediaEval_NewsImages/Training Dataset/UVYKAVxcXUR-XR8FAA5RXglSQ31cHFNQ.jpg	Bloomberg: Estonia wants to prepare confiscation of Russian assets by the end of January For months, the EU has been talking about confiscating frozen assets of Russia. To this end, it plans to draw up necessary legal standards. According to Bloomberg, Estonia has now planned to prepare its own plan for seizure of Russian money by the end of January.
/content/MediaEval_NewsImages/Training Dataset/UVYKAV5UBhN-XR8FAA5QXVhdR3JTTgJc.jpg	Why Ukraine loses Soledar and Artjomowsk The Russian armed forces are probably close to taking the cities of Soledar and Artjomovsk ( Ukrainian again Bachmut) in the Donetsk People's Republic. For the Ukrainian positions in Donbas, their loss could have serious consequences.
/content/MediaEval_NewsImages/Training Dataset/UVYKAVxcBhZ-XR8FAA5RXglSQ31cHFMH.jpg	Banana Republic? Landowners and houseowners complain against the Basic Tax Act By the end of the month, owners of houses, apartments or land are invited to make their basic tax return. By recalculation, the federal government promises a lot of new revenue. Owner associations now want to act legally against the often opaque decisions.
/content/MediaEval_NewsImages/Training Dataset/UVYKBloPUhB-XR8FAA5RUVgDQHIHGgVT.jpg	Authoritarian liberalism threatens democracy in Germany Germany as liberal democracy in system competition A look at German reality shows, however: Germany's political and media elites are democramental and despise voters.
/content/MediaEval_NewsImages/Training Dataset/UVYKAV9VUkYpUUFXBgtVCwgAR3lQSFZc.jpg	Armenia refuses to stop OVKS practice in the country – Paschinjan explains why After Armenia had refused to stop OVKS practice in the country, Prime Minister Nikol Paschinjan called for a clarification of the organization's competence. According to Paschinjan, the lack of understanding on this issue is a problem for the country.
/content/MediaEval_NewsImages/Training Dataset/UVYKAV4MVEUpUUFXBgtWDFxQQn9WGFID.jpg	New gas deposit discovered in the Far East of Russia With the largest deposits and lines to China, the gas industry of the Russian Far East is growing. The authorities of the Republic of Jakutien reported on Monday the discovery of a new gas field. This means that the economy of the region can become even stronger.
/content/MediaEval_NewsImages/Training Dataset/UVYKAQtcAxMpUUFXBgtWDF0ARHJQQVdS.jpg	Unannounced visit: Annalena Baerbock travels to Charkow Federal Foreign Minister Baerbock arrived in Charkow Your visit to Ukraine has not been announced. Baerbock reported new weapons deliveries and further support for Ukraine. Previously, the traffic lights in Berlin had promised Kiev to deliver up to 40 Marder-Schützenpanzer.
/content/MediaEval_NewsImages/Training Dataset/UVYKAV5VB0V-XR8FAA5QXVhdR3JTTgJR.jpg	Joint exercises, presence of US soldiers: USA and Sweden deepen military cooperation Washington and Stockholm have begun negotiations on deepening military cooperation. Among other things, the legal framework for the presence of American soldiers in Swedish territory is also to be agreed.
/content/MediaEval_NewsImages/Training Dataset/UVYKAV8LXRZ-XR8FAA5RUV9dR3oEGAFW.jpg	Economic crisis, interest rate hikes, inflation: Does the German real estate bubble place this year? A decades-old boom in the real estate sector is braked by the currently poor economic situation. In particular residential and commercial properties prove to be shopkeepers. In Munich or Frankfurt am Main, too, the prices for the concrete gold are reduced.
/content/MediaEval_NewsImages/Training Dataset/UVYKAQtZARQpUUFXBgtRWgtVQikHQQEG.jpg	FDP delegation visited Taiwan – Beijing warns of game with fire During the visit to an FDP delegation, Deputy FDP Chairman Johannes Vogel and FDP Federal Minister and Armaments Officer Marie-Agnes Strack-Zimmermann explained that China must feel economic consequences in the event of an invasion in Taiwan. China's ambassador in Germany warned the Federal Government to cross red lines.
/content/MediaEval_NewsImages/Training Dataset/UVYKAQsIBEQpUUFXBgtWDF0ARHJQQVZX.jpg	What the decision-making battle in Soledar and Artjomovsk means for the West Already in the next days, if not even hours, Thus, the core of the Ukrainian defence line would then be broken, which would allow the Ukrainian front to roll up from behind and/or cut off from behind. What are the options for Kiev and the West?
/content/MediaEval_NewsImages/Training Dataset/UVYKAQ1eB0ApUUFXBgtVCFpWRnxWSgJR.jpg	G7 plans price limits for kerosene, diesel and fuel oil from Russia As a result of sanctions on oil products from Russia, G7 expects a refocusing of trade over the Atlantic from 5 February, writes Bloomberg. Different price limits are developed for Russian fuels.
/content/MediaEval_NewsImages/Training Dataset/UVYKAV5dUEEpUUFXBgtVXVoDRSlQSVBV.jpg	UN-Gremium: ozone hole could close completely by 2066 when geoengineering is set The first reports on an ozone hole came from 1985. Now scientists have found that complete recovery is possible if measures such as the 1989 Montreal Protocol remain in force.
/content/MediaEval_NewsImages/Training Dataset/UVYKAF8LBBYpUUFXBgtQDV1SR3wAQV8H.jpg	Group Wagner Announces Taking the City of Soledar Soledar was completely under Russian control, reported to Jewgeni Prigoschin, the founder of the military organization Group Wagner, on Tuesday night. Only Wagner troops were involved in taking the city, he stressed.
/content/MediaEval_NewsImages/Training Dataset/UVYKAF8MVkJ-XR8FAA5VWAlRRnJdQFNc.jpg	Russia's chief security: No place for Russia in Western world view The Secretary of the Russian Security Council has spoken about the world order. He condemned transnational companies to create a global exploitation system facing Russia. In this order, the West sees no place for Russia.
/content/MediaEval_NewsImages/Training Dataset/UVYKAAsOXUN-XR8FAA5RXg8DQCpWTARV.jpg	Russian Space Agency: Sojus MS-22 must fly back to Earth unmanned The head of the space organization Roskosmos has announced the cause of the leak in the cooling system of the spacecraft Sojus MS-22. The system was damaged by a meteorite attack. Soyuz MS-22 must return unmanned to Earth. The crew will come back in the spaceship Sojus MS-23.
/content/MediaEval_NewsImages/Training Dataset/UVYKAFAIU0F-XR8FAA5QXVtRQ39VHwEE.jpg	Computerpanne: Air traffic in the USA completely stopped According to consistent reports from several US media, all flights in the United States were stopped due to a malfunction in the computer system of the US Aviation Administration. Meanwhile, the stop is cancelled.
/content/MediaEval_NewsImages/Training Dataset/UVYKAF8JAEZ-XR8FAA5VWAlRRnJdQFMA.jpg	Executions in Iran: not peaceful demonstrators, but murder of security forces Two more men were executed in connection with the recent unrest in Iran for the murder of a security officer. Although images in the social media prove the murder committed by the two men, Western media represented the alleged murderers as peaceful demonstrators.
/content/MediaEval_NewsImages/Training Dataset/UVYKAVAMVhZ-XR8FAA5SDQ9RQngGSAIB.jpg	Media: Before the special operation in Ukraine, Putin spoke to Xi Jinping about possible measures Financial Times reports on the content of a conversation between Xi Jinping According to the newspaper, they discussed the option of taking all possible measures in the event of an attack on Russian territory.
/content/MediaEval_NewsImages/Training Dataset/UVYKAFBbBhMpUUFXBgtXXQwBQXsETFFX.jpg	New state youth organisation in Russia – the pioneers are back In Russia, a state youth organisation is taking more and more significant forms. Since June, it has been active and aims to provide 20 million Russian youths with a place to gather together. In its structure, the organization recalls the pioneers at times of the Soviet Union. It's not a coincidence.
/content/MediaEval_NewsImages/Training Dataset/UVYKAFEOUEd-XR8FAA5QXVRQQi0AHFVc.jpg	Media report: Six injured at knife attack at Gare du Nord Paris station At a knife attack at Gare du Nord Paris station, a man injured several people on Wednesday morning. According to media reports, the attacker should have spoken Arabic and stabbed people at the station without choice.
/content/MediaEval_NewsImages/Training Dataset/UVYKAAsMXEt-XR8FAA5RXghcQHoGH1cA.jpg	Freiburg: Woman killed at Messerattacke Media reports killed a woman by a knife Another woman was seriously injured. The suspected perpetrator was arrested.
/content/MediaEval_NewsImages/Training Dataset/UVYKAAgMVhB-XR8FAA5RUVQARHJUHwNU.jpg	Syria: UN approves help deliveries from Turkey for another half year Over the past few years, cross-border aid to Syria has been restricted in Russian operation, because Syrian resources have recently been slandering several weapons to promote Islamists, or Syrian goods have been illegally smuggled abroad in the opposite direction.
/content/MediaEval_NewsImages/Training Dataset/UVYKAF4MXUApUUFXBgtQCg5cRH8DSgMG.jpg	Poland's Minister of Defence announces new Infantry Division for East of the country Poland wants a new defence candidate in the east of the country For Poland, the main threat to Russia, the Minister said in an interview. The division was necessary to deter Moscow.
/content/MediaEval_NewsImages/Training Dataset/UVYKAFBcXUR-XR8FAA5QXVRQQi0AHFRT.jpg	Great Britain and Japan strengthen military cooperation Great Britain and Japan are seeking more cooperation in defence. Now the months-long negotiations are culminating in the signing of a defence agreement, which has sealed the greatest cooperation between the two countries for more than 100 years.
/content/MediaEval_NewsImages/Training Dataset/UVYKAAgIAxApUUFXBgtXXFxRQi5dSFdX.jpg	Especially Syrians and Afghans: Number of asylum applications increased by almost one third In 2022, the number of asylum applications submitted in Germany increased by 27.9% compared to the previous year. Most applicants came from the Middle East. More than a million Ukrainians are missing in this statistics – they do not have to submit an asylum application.
/content/MediaEval_NewsImages/Training Dataset/UVYKAApeUUR-XR8FAA5TXltXRCgBSgNc.jpg	Robert Koch-Institut: Lothar Wieler gives his presidential posts to April 1st Lothar Wieler submits his position as President of the Robert Koch Institute. He leaves the RKI on his own request to 1. April, shared the Federal Ministry of Health and the RKI on Wednesday.
/content/MediaEval_NewsImages/Training Dataset/UVYKAAtbBEspUUFXBgtXXFxRQi5dSFVR.jpg	TOI 700 e: Researchers discover second earth-like planets in a solar system NASA has discovered a planet that circles around its star in a habitable zone. The planet system around the red dwarf with the designation TOI 700 is becoming increasingly interesting for scientists. Because a planet had been found there before, where life could be possible.
/content/MediaEval_NewsImages/Training Dataset/UVYKAFAMA0N-XR8FAA5QXVhdR3JTQQJc.jpg	Selensky deprives opposition leader Ukrainian citizenship Ukrainian President Vladimir Selensky accused opposition politician Wiktor Medvedchuk and several other Members of serving Russia. As a result, the passports of the politicians were drawn in. Other measures of this kind would follow, according to Selensky.
/content/MediaEval_NewsImages/Training Dataset/UVYKAAhYXREpUUFXBgtXXFxRQi5dSQIG.jpg	Russian fairytale shape declared occupier in Ukraine The active fight against memories of Russian, Soviet or unpopular Ukrainian writers and historical figures is part of everyday life in today's Ukraine. In the meantime, nationalist activists have moved to attacks on fantasies.
/content/MediaEval_NewsImages/Training Dataset/UVYKAQoPVxZ-XR8FAA5QXVhdR3JTQVJU.jpg	200,000 children from Ukraine in German schools: A permanent state of emergency Hundreds of thousands of Ukrainian children were included in the chronic overload in 2022. According to experts, the solution can hardly be quickly spelled out because the teachers lack. The Federal Government wants to solve the problem with the already existing personnel.
/content/MediaEval_NewsImages/Training Dataset/UVYKAF5fBxQpUUFXBgtQDV1XRShSHV9V.jpg	Lützerath: Good demo children – bad demo children? The miserable suffering to take children into a Corona-Demo Parents would act irresponsible. When it comes to climate demos, it looks different. The image of a family in the Demo-Dorf Lützerath called the activist Luisa Neubauer wonderful. The media are silent.
/content/MediaEval_NewsImages/Training Dataset/UVYKAAsOU0YpUUFXBgtXXVRRQH9dHFZd.jpg	Police Very Satisfied with evacuation in Lützerath On Wednesday morning, the police began to clear the village of Lützerath, occupied by climate activists, in the Rhine brown coal area. As a police spokesman told, so far run all by plan.
/content/MediaEval_NewsImages/Training Dataset/UVYKAVAJVEQpUUFXBgtWDF0DRXkEG1JX.jpg	Nation instead of Christ: Christmas greeting of the Ukrainian General Staff The Ukrainian armed forces have released an advertising video on social media for the Orthodox Christmas. It says more about the spiritual state of modern Ukraine than a thousand words.
/content/MediaEval_NewsImages/Training Dataset/UVYKAFFcVUN-XR8FAA5VWAlRRnJdQFFT.jpg	Russian security officer: Having all four attacks on US presidents stuck companies Preview align=left style=margin-right: 10px  src=https://mf.b37mrtl.ru/english/images/2023.01/thumbnail/63be810148fbef01d4498966.jpg /> According to the secretary of the Russian Federation, Nikolai Patrushner believe The power would really have the corporations.
/content/MediaEval_NewsImages/Training Dataset/UVYKAFFZVBR-XR8FAA5QXVtRQ39VHwRV.jpg	U.S. Department of Defense definitively raises COVID-19 duty for troops – with exceptions On Tuesday, the Pentagon formally cancelled its COVID-19 vaccination mandate and abolished the vaccination obligation for the entire US military personnel more than a year after its introduction.
/content/MediaEval_NewsImages/Training Dataset/UVYKAAxcVEQpUUFXBgtQDwkER39ST1FS.jpg	Art professor flies from U.S. University: Because of drawing of Muhammad from the 14th century Century In his book Clash of Civilsations, Samuel Huntington describes the conflict between Islamic and non-Islamic cultures. A parade example of this now provides a US university. She left a professor who showed a picture of Mohammed.
/content/MediaEval_NewsImages/Training Dataset/UVYKAAoLA0QpUUFXBgtXXFxRQi5dSFBR.jpg	Vladimir Putin: Russia's opponents' forecasts have not been observed in 2022 In a joint consultation with the Council of Ministers of the Russian Federation on Wednesday, the Russian President thanked the Cabinet for Work last year. He also set targets for the development of the four new federation subjects by 2030.
/content/MediaEval_NewsImages/Training Dataset/UVYKAApVU0MpUUFXBgtXXVRRQH9dHFNQ.jpg	Citizens' Assembly in Erkelenz: Does the survival of the planet extend to Lützerath? On the eve of the police excavation of the village of Lützerath at the open pit of Garzweiler, the police president Weinspach, responsible for the operation, invited on Tuesday to a public meeting in the city of Erkelenz. Climate protection activists defended their resistance to the clearing with their concern for the survival of the planet.
/content/MediaEval_NewsImages/Training Dataset/UVYKAApeXEN-XR8FAA5RUVQARHJXSVVR.jpg	Estonia's Ministry of Foreign Affairs is entering less Russian diplomats Since the escalation of the Ukraine conflict, relations between Russia and Estonia have deteriorated. The Baltic State closes consulates and has Russian diplomats. Estonia's Ministry of Foreign Affairs has now decided that Russia's message should also be reduced in person.
/content/MediaEval_NewsImages/Training Dataset/UVYKA1lVVkF-XR8FAA5RUVkAQHhRTVIA.jpg	Brazil: The politics of chaos Was this really a coup attempt in Brasília? And how can the country find out the conflicts that exist between the followers Lulas and Bolsonaros? The solution is not as simple as it seems.
/content/MediaEval_NewsImages/Training Dataset/UVYKA1lZU0spUUFXBgtQD1RRQ38EHwEA.jpg	Composition of the Bundestag: Politologe proposes voluntary workers' and craftsmen's quota This question is raised not only in view of the situation of German parliamentarians and average income  it is also confronted with the professions that have been exercised before.
/content/MediaEval_NewsImages/Training Dataset/UVYKAApYUUIpUUFXBgtXXVgAR31RSQJT.jpg	Sputnik chief editor arrested in Latvia for the first time The editor-in-chief of Sputnik Lithuania, Marat Kassem, who was arrested in Latvia, was able to contact the public for the first time thanks to a friend. Meanwhile, the Russian public is outraged by the indifference of international organisations and the Western journalist community.
/content/MediaEval_NewsImages/Training Dataset/UVYKBl5fXEopUUFXBgtQUV1WRXMHS15V.jpg	Fighting to the last Ukrainian: Sharing with corpses in the name of democracy Ukrainian diplomats will want to sacrifice their lives until But the West can only have an interest in this. For for Ukraine, the victims are now indigestible.
/content/MediaEval_NewsImages/Training Dataset/UVYKAAsLBEApUUFXBgtXCF8HRXtdTF9c.jpg	EU and NATO deepen their relations: New stage of cooperation Relations between the EU and NATO will continue to be deepened. In a joint statement by the two organisations, it is said that transatlantic security requires further mobilisation. Russia and China were called the biggest threats.
/content/MediaEval_NewsImages/Training Dataset/UVYKAApaUEMpUUFXBgtXCF8HRXtdTAYG.jpg	Libysches court sets out energy agreements with Turkey A Libyan court has suspended an energy agreement that the government of Tripoli had signed with Turkey last year. The bilateral maritime law agreement between Ankara and the government in West Libya at the time upset Greece.
/content/MediaEval_NewsImages/Training Dataset/UVYKAA9fB0opUUFXBgtQDwkER39ST1AB.jpg	Saxony: union education and science also wants to become in schools in Saxony should consider the GEWender that the pupils There's nothing in the Ministry of Culture. In Berlin, one step further is: The use of the pronouns Sie/Er is now dispensed with in school certificates.
/content/MediaEval_NewsImages/Training Dataset/UVYKAAgOVkYpUUFXBgtXXQwBQXsETF5R.jpg	Whistleblower Adrien Bocquet requests asylum in Russia In the spring of 2022, the French Adrien Bocquet gave his eyes to Ukrainian war crimes in various French media and branded the Ukrainian representation of an alleged massacre in Butscha as a staging. Now the French has asked for political asylum in Russia.
/content/MediaEval_NewsImages/Training Dataset/UVYKAA1dUBB-XR8FAA5TXltXRCgBTVdV.jpg	World Bank warns of a possible global recession this year This year, the world economy will be probably close to a recession, led by a weaker growth in all the world's leading economies – the United States, Europe and China – warned the World Bank on Tuesday.
/content/MediaEval_NewsImages/Training Dataset/UVYKAFwOBBZ-XR8FAA5QXQwBRnNTQVNR.jpg	3... 2... 1... my bad conscience! Ebay and the CO2 account Ebay customers have been able to purchase CO2 from the end of the previous year In the Board of Directors of South Pole, the company that supports the Ebay project, there is an employee of the WEF. In the Ebay customer forum, it is more critical of the action.
/content/MediaEval_NewsImages/Training Dataset/UVYKAQ1dVRQpUUFXBgtVWlxdQ3oHTF9Q.jpg	Old power in decline? The West between Reality and Wish Thinking It becomes increasingly opaque, what the West is about in its conflicts with Russia and China. Contentless keywords are inflated to ideals. The West is experiencing not only a social crisis. He also experiences a crisis of his thinking.
/content/MediaEval_NewsImages/Training Dataset/UVYKA1tbBkIpUUFXBgtTXl0DQS5XSAJW.jpg	The assassination of Colombia's vice president Colombian Vice-President Francia Márquez It is still unclear who is behind the attempted bombing on Marquez.
/content/MediaEval_NewsImages/Training Dataset/UVYKAApaVUcpUUFXBgtXXVRRQH9dHFQB.jpg	Report: Global risks indicate unsafe and turbulent decade According to a survey, the world population is faced with a unique combination of risks Overall, the first regression in human development for decades was recorded.
/content/MediaEval_NewsImages/Training Dataset/UVYKA1gOXBR-XR8FAA5RUVsARXNTHAZW.jpg	Storms, Floods and Dead – Sweaters in California make a short break in some places California currently suffers a third week under heavy winter storms There were already 18 deaths. The state devastated by the storm is trying to clean up, in parts it is already going on with the storm.
/content/MediaEval_NewsImages/Training Dataset/UVYKAA0OVkN-XR8FAA5RUVQARHJXSVJc.jpg	Enlarged Discussion – SPD Group Chief wants not only to talk about arms deliveries to Ukraine From several directions, the pressure on Berlin is increased to match the supplies of combat tanks to Ukraine. The Leopard 2 receives immense prominence. The Federal Government is still opposed. SPD President Mützenich sees Ukraine aid too much reduced to arms deliveries.
/content/MediaEval_NewsImages/Training Dataset/UVYKAwoIUEV-XR8FAA5WW1hURHtRQQRd.jpg	Security forces find traces of uranium at Heathrow Airport in London The British anti-terrorist police investigates the arrival of a uranium-contaminated shipment at Heathrow Airport in London. The incident triggered a wave of anxiety in the local media. The backgrounds of the find are still unclear.
/content/MediaEval_NewsImages/Training Dataset/UVYKAwsIBxB-XR8FAA5WWlhRRigDT18E.jpg	Share prices of the arms manufacturers of the NATO states will raise 2022 According to a report, the share values of large Western arms producers, who were also involved in supplies of military goods to Ukraine, were raised last year. The top winner of the last twelve months was a German weapon manufacturer.
/content/MediaEval_NewsImages/Training Dataset/UVYKAAsLVhZ-XR8FAA5RXg8DQCpWTAQE.jpg	Study: Alleged Russian Troll Army on Twitter had hardly any influence on US election 2016 The influence of alleged Russian troll on Twitter on the race in 2016 around the US Presidency was minimal or not present at all. This shows a study by the New York University Center for Social Media and Politics published in the journal Nature Communications.
/content/MediaEval_NewsImages/Training Dataset/UVYKAA1UVkt-XR8FAA5RUVRTRn5RTFQG.jpg	Global Risk Report predicts the end of globalisation A further Global Risk Report will be published before the World Economic Forum in Davos. 1,200 experts predict future developments. This year he is particularly gloomy. The global risks are increasing.
/content/MediaEval_NewsImages/Training Dataset/UVYKAA0OUBYpUUFXBgtQDwkER39ST1FU.jpg	Mexico, USA and Canada want to reduce chip dependence from Asia At the beginning of the COVID-19 pandemic, the increasing demand for electronics has led to bottlenecks in semiconductor products. Although chip scarcity now leaves, Mexico, the USA and Canada are worried about their dependence on manufacturers in Asia.
/content/MediaEval_NewsImages/Training Dataset/UVYKAApVBkQpUUFXBgtXXVRRQH9dHFME.jpg	First oil exports from Kazakhstan to Germany scheduled for January Kazakhstan before pumping the first 20,000 ton oil in January According to the energy minister of the country, his government of Russia has received oral permission for export to the Federal Republic.
/content/MediaEval_NewsImages/Training Dataset/UVYKAAxaV0IpUUFXBgtQWAgARihQTl9d.jpg	Economic crisis: Retail trade association warns about Brussels and Berlin regulation The medium-sized Handelsverband Deutschland (HDE) fears too sharp regulations from the European Union in view of the economic crisis. As the retail association says, the Brussels solution strategies do not help from the crisis.
/content/MediaEval_NewsImages/Training Dataset/UVYKAw0PXRZ-XR8FAA5WW1tdR3sGQV5c.jpg	Macron denied apology for colonization of Algeria France's President Macron refused to apologize for the crime Algeria's demand for an excuse underlines the loss of influence of France and the EU in Africa.
/content/MediaEval_NewsImages/Training Dataset/UVYKAw0PVEV-XR8FAA5WW14DRn9UTwNQ.jpg	South Korea's President does not exclude the deployment of nuclear weapons in the country If the nuclear threat from North Korea could continue to escalate Previously, he had explained that Seoul was planning joint nuclear exercises with the United States.
/content/MediaEval_NewsImages/Training Dataset/UVYKAw1YXEIpUUFXBgtXXFtURC8DTgID.jpg	A triumph for Russia and the axis of resistance: Turkey seeks reconciliation with Syria The West is currently experiencing a serious setback after Turkey has signaled the willingness to normalize its relations with Syria. Turkey was one of those states that, with the support of Islamist groups and the United States, wanted to overthrow President Assad at any price.
/content/MediaEval_NewsImages/Training Dataset/UVYKAwtdUEUpUUFXBgtRWFpQQ3lWQQEH.jpg	Joe Biden trumped again: Further government documents were discovered at a second site The classified papers were once again found in the Penn Biden Center, a so-called think tank. The White House continues to reject an opinion on the events. The University of Pennsylvania belonging to the Penn Biden Center should have received high donations from China.
/content/MediaEval_NewsImages/Training Dataset/UVYKAwoJUhMpUUFXBgtXXFVWQS8HTVVU.jpg	Lothar Wieler? Thanks for nothing! Lothar Wielers on the path of suffering The media are now almost unanimous, he was one of the great fighters in the largest challenge since World War II (A. Merkel). Critical citizens are remembered as Dr. Wankelmut.
/content/MediaEval_NewsImages/Training Dataset/UVYKAw0MBhMpUUFXBgtXXA5WRS9TGF8A.jpg	Russia sends next Soyuz to space: For safe return of ISS space drivers The three space drivers on the ISS are picked up with the Soyuz MS-23. She should start on February 20th.
/content/MediaEval_NewsImages/Training Dataset/UVYLVVlfBxZ-XR8FAA5WW1hURHtRQFNQ.jpg	Russian Foreign Ministry imposes sanctions against 36 British officials and journalists According to the Russian Ministry of Foreign Affairs, sanctions were imposed against nearly 40 journalists, security forces and officials from the UK. This is related to the dissemination of false information about Russia and the apron of Russophobia.
/content/MediaEval_NewsImages/Training Dataset/UVYKAwwPBhN-XR8FAA5WW1hURHtRQQED.jpg	Russian Army Receives More Charge of Modern T-90M Pencil Another batch of modern Russian T-90M tanks is available to the Russian military. The fighting tanks will soon be sent to the front in Ukraine. A tradition of Soviet times has also been revived in the production of the modernized version.
/content/MediaEval_NewsImages/Training Dataset/UVYKAw9cAEt-XR8FAA5WW1hURHtRQFZW.jpg	Renting association and construction union warn against disaster at the housing market The Deutsche Mieterbund and the Baugewerkschaft IG BAU have warned against drastic distortions on the German housing market. In particular, there will be a sharp break in the offer of affordable apartments supported.
